soccode,soctitle,onetcode,onettitle,occupation,freq,source
Nov-21,Marketing managers,11-2021.00,Marketing Managers,PRODUCT MANAGER,4057,ONET-DUP
Nov-21,Marketing managers,11-2021.00,Marketing Managers,MARKETING MANAGER,2648,ONET-DM
Nov-21,Marketing managers,11-2021.00,Marketing Managers,MARKETING DIRECTOR,1648,DMTF
Nov-21,Marketing managers,11-2021.00,Marketing Managers,MARKETING COORDINATOR,682,ONET-DUP
Nov-21,Marketing managers,11-2021.00,Marketing Managers,STRATEGIST,587,ONET-DUP
Nov-21,Marketing managers,11-2021.00,Marketing Managers,BUSINESS DEVELOPMENT MANAGER,325,ONET-DUP
Nov-21,Marketing managers,11-2021.00,Marketing Managers,MARKETING EXECUTIVE,289,ONET-DM
Nov-21,Marketing managers,11-2021.00,Marketing Managers,CMO,204,ONET-DUP
Nov-21,Marketing managers,11-2021.00,Marketing Managers,DIGITAL MARKETING MANAGER,188,ONET-DM
Nov-21,Marketing managers,11-2021.00,Marketing Managers,VP MARKETING,169,DMTF
Nov-21,Marketing managers,11-2021.00,Marketing Managers,PRODUCT MARKETING MANAGER,99,ONET-DM
Nov-21,Marketing managers,11-2021.00,Marketing Managers,PRICING MANAGER,39,ONET-DUP
Nov-21,Marketing managers,11-2021.00,Marketing Managers,HEAD OF MARKETING,35,ONET-DM
Nov-21,Marketing managers,11-2021.00,Marketing Managers,MARKETING OFFICER,13,ONET-DUP
Nov-21,Marketing managers,11-2021.00,Marketing Managers,MARKETING ADMINISTRATOR,12,DMTF
Nov-21,Marketing managers,11-2021.00,Marketing Managers,MARKET RESEARCH MANAGER,12,ONET-DUP
Nov-21,Marketing managers,11-2021.00,Marketing Managers,MARKETING AGENT,10,ONET-DUP
Nov-21,Marketing managers,11-2021.00,Marketing Managers,MARKETING VICE PRESIDENT,4,ONET-DM
Nov-21,Marketing managers,11-2021.00,Marketing Managers,MARKET DEVELOPMENT EXECUTIVE,2,ONET-DUP
Nov-21,Marketing managers,11-2021.00,Marketing Managers,MARKETING PLANNER,2,ONET-DUP
Nov-21,Marketing managers,11-2021.00,Marketing Managers,PLM,2,ONET-DUP
Nov-21,Marketing managers,11-2021.00,Marketing Managers,INTERNET MARKETING MANAGER,1,DMTF
Nov-21,Marketing managers,11-2021.00,Marketing Managers,MARKETING MANAGERS,1,ONET-DUP
Nov-21,Marketing managers,11-2021.00,Marketing Managers,MEDIA MARKETING DIRECTOR,1,ONET-DUP
Nov-21,Marketing managers,11-2021.00,Marketing Managers,MEMBERSHIP ADMINISTRATOR,1,ONET-DUP
Nov-21,Marketing managers,11-2021.00,Marketing Managers,SPORTS MARKETER,1,ONET-DUP
Nov-22,Sales managers,11-2022.00,Sales Managers,SALES MANAGER,2899,ONET-DUP
Nov-22,Sales managers,11-2022.00,Sales Managers,SALES DIRECTOR,607,DMTF
Nov-22,Sales managers,11-2022.00,Sales Managers,SALES COORDINATOR,200,ONET-DUP
Nov-22,Sales managers,11-2022.00,Sales Managers,TERRITORY MANAGER,198,ONET-DUP
Nov-22,Sales managers,11-2022.00,Sales Managers,REGIONAL DIRECTOR,197,ONET-DM
Nov-22,Sales managers,11-2022.00,Sales Managers,REGIONAL SALES MANAGER,145,DMTF
Nov-22,Sales managers,11-2022.00,Sales Managers,SALES ACCOUNT MANAGER,64,DMTF
Nov-22,Sales managers,11-2022.00,Sales Managers,NATIONAL SALES MANAGER,57,ONET-DM
Nov-22,Sales managers,11-2022.00,Sales Managers,DISTRICT SALES MANAGER,46,DMTF
Nov-22,Sales managers,11-2022.00,Sales Managers,SALES ADMINISTRATOR,34,ONET-DM
Nov-22,Sales managers,11-2022.00,Sales Managers,CLIENT RELATIONSHIP MANAGER,26,ONET-DM
Nov-22,Sales managers,11-2022.00,Sales Managers,TERRITORY SALES MANAGER,25,DMTF
Nov-22,Sales managers,11-2022.00,Sales Managers,REGIONAL SALES DIRECTOR,22,ONET-DUP
Nov-22,Sales managers,11-2022.00,Sales Managers,EXPORT MANAGER,13,DMTF
Nov-22,Sales managers,11-2022.00,Sales Managers,SALES AND MARKETING DIRECTOR,9,ONET-DUP
Nov-22,Sales managers,11-2022.00,Sales Managers,RETAIL DISTRICT MANAGER,5,ONET-DM
Nov-22,Sales managers,11-2022.00,Sales Managers,E-COMMERCE DIRECTOR,4,DMTF
Nov-22,Sales managers,11-2022.00,Sales Managers,SALES MANAGERS,3,ONET-DUP
Nov-22,Sales managers,11-2022.00,Sales Managers,ZONE MANAGER,3,ONET-DUP
Nov-22,Sales managers,11-2022.00,Sales Managers,DEALERSHIP MANAGER,1,ONET-DUP
Nov-22,Sales managers,11-2022.00,Sales Managers,DIVISION HEAD,1,ONET-DUP
Nov-22,Sales managers,11-2022.00,Sales Managers,GAM,1,ONET-DUP
Nov-31,Public relations and fundraising managers,11-2031.00,Public Relations and Fundraising Managers,PUBLIC RELATIONS,1580,ONET-DUP
Nov-31,Public relations and fundraising managers,11-2031.00,Public Relations and Fundraising Managers,COMMUNITY MANAGER,273,ONET-DUP
Nov-31,Public relations and fundraising managers,11-2031.00,Public Relations and Fundraising Managers,DEVELOPMENT COORDINATOR,237,ONET-DUP
Nov-31,Public relations and fundraising managers,11-2031.00,Public Relations and Fundraising Managers,OUTREACH COORDINATOR,200,ONET-DUP
Nov-31,Public relations and fundraising managers,11-2031.00,Public Relations and Fundraising Managers,RELATIONSHIP MANAGER,175,ONET-DUP
Nov-31,Public relations and fundraising managers,11-2031.00,Public Relations and Fundraising Managers,PR MANAGER,52,ONET-DM
Nov-31,Public relations and fundraising managers,11-2031.00,Public Relations and Fundraising Managers,MARKETING COMMUNICATIONS MANAGER,43,ONET-DM
Nov-31,Public relations and fundraising managers,11-2031.00,Public Relations and Fundraising Managers,COMMUNICATION MANAGER,36,DMTF
Nov-31,Public relations and fundraising managers,11-2031.00,Public Relations and Fundraising Managers,PUBLIC RELATIONS MANAGER,28,DMTF
Nov-31,Public relations and fundraising managers,11-2031.00,Public Relations and Fundraising Managers,PUBLIC AFFAIRS DIRECTOR,26,DMTF
Nov-31,Public relations and fundraising managers,11-2031.00,Public Relations and Fundraising Managers,PUBLIC RELATIONS DIRECTOR,19,DMTF
Nov-31,Public relations and fundraising managers,11-2031.00,Public Relations and Fundraising Managers,FUNDRAISING DIRECTOR,15,DMTF
Nov-31,Public relations and fundraising managers,11-2031.00,Public Relations and Fundraising Managers,FUNDRAISING MANAGER,13,ONET-DUP
Nov-31,Public relations and fundraising managers,11-2031.00,Public Relations and Fundraising Managers,PUBLICITY MANAGER,12,ONET-DUP
Nov-31,Public relations and fundraising managers,11-2031.00,Public Relations and Fundraising Managers,PUBLICITY DIRECTOR,7,DMTF
Nov-31,Public relations and fundraising managers,11-2031.00,Public Relations and Fundraising Managers,INFORMATION DIRECTOR,4,ONET-DUP
Nov-31,Public relations and fundraising managers,11-2031.00,Public Relations and Fundraising Managers,MGO,3,ONET-DUP
Nov-31,Public relations and fundraising managers,11-2031.00,Public Relations and Fundraising Managers,PUBLIC INFORMATION DIRECTOR,2,DMTF
Nov-31,Public relations and fundraising managers,11-2031.00,Public Relations and Fundraising Managers,ANNUAL GIVING DIRECTOR,1,ONET-DUP
Nov-11,Administrative services managers,11-3011.00,Administrative Services Managers,FACILITIES MANAGER,246,DMTF
Nov-11,Administrative services managers,11-3011.00,Administrative Services Managers,ADMINISTRATIVE MANAGER,129,ONET-DM
Nov-11,Administrative services managers,11-3011.00,Administrative Services Managers,ADMINISTRATIVE DIRECTOR,60,ONET-DM
Nov-11,Administrative services managers,11-3011.00,Administrative Services Managers,CHURCH ADMINISTRATOR,59,ONET-DUP
Nov-11,Administrative services managers,11-3011.00,Administrative Services Managers,BUSINESS OFFICE MANAGER,48,DMTF
Nov-11,Administrative services managers,11-3011.00,Administrative Services Managers,CHIEF ADMINISTRATIVE OFFICER,32,ONET-DUP
Nov-11,Administrative services managers,11-3011.00,Administrative Services Managers,COURT ADMINISTRATOR,31,ONET-DM
Nov-11,Administrative services managers,11-3011.00,Administrative Services Managers,FACILITIES DIRECTOR,29,ONET-DM
Nov-11,Administrative services managers,11-3011.00,Administrative Services Managers,FACILITIES SPECIALIST,22,ONET-DUP
Nov-11,Administrative services managers,11-3011.00,Administrative Services Managers,ADMINISTRATIVE SERVICES MANAGER,12,DMTF
Nov-11,Administrative services managers,11-3011.00,Administrative Services Managers,BUSINESS UNIT MANAGER,7,DMTF
Nov-11,Administrative services managers,11-3011.00,Administrative Services Managers,SPACE OFFICER,2,ONET-DUP
Nov-21,Computer and information systems managers,11-3021.00,Computer and Information Systems Managers,IT MANAGER,2637,ONET-DUP
Nov-21,Computer and information systems managers,11-3021.00,Computer and Information Systems Managers,IT CONSULTANT,1749,ONET-DUP
Nov-21,Computer and information systems managers,11-3021.00,Computer and Information Systems Managers,IT DIRECTOR,942,ONET-DUP
Nov-21,Computer and information systems managers,11-3021.00,Computer and Information Systems Managers,CIO,241,ONET-DM
Nov-21,Computer and information systems managers,11-3021.00,Computer and Information Systems Managers,DIRECTOR OF IT,162,ONET-DUP
Nov-21,Computer and information systems managers,11-3021.00,Computer and Information Systems Managers,CHIEF TECHNOLOGY OFFICER,68,DMTF
Nov-21,Computer and information systems managers,11-3021.00,Computer and Information Systems Managers,PRODUCT SUPPORT MANAGER,9,ONET-DUP
Nov-21,Computer and information systems managers,11-3021.00,Computer and Information Systems Managers,SOFTWARE DEVELOPMENT DIRECTOR,8,ONET-DUP
Nov-21,Computer and information systems managers,11-3021.00,Computer and Information Systems Managers,INFORMATION SYSTEMS MANAGER,7,DMTF
Nov-21,Computer and information systems managers,11-3021.00,Computer and Information Systems Managers,MIS DIRECTOR,7,DMTF
Nov-21,Computer and information systems managers,11-3021.00,Computer and Information Systems Managers,NETWORK DIRECTOR,6,ONET-DUP
Nov-21,Computer and information systems managers,11-3021.00,Computer and Information Systems Managers,IS DIRECTOR,6,ONET-DUP
Nov-21,Computer and information systems managers,11-3021.00,Computer and Information Systems Managers,DATA PROCESSING MANAGER,5,DMTF
Nov-21,Computer and information systems managers,11-3021.00,Computer and Information Systems Managers,INFORMATION TECHNOLOGY DIRECTOR,5,DMTF
Nov-21,Computer and information systems managers,11-3021.00,Computer and Information Systems Managers,INFORMATION SERVICES MANAGER,5,ONET-DM
Nov-21,Computer and information systems managers,11-3021.00,Computer and Information Systems Managers,DATA SYSTEMS MANAGER,5,ONET-DUP
Nov-21,Computer and information systems managers,11-3021.00,Computer and Information Systems Managers,SYSTEMS ENGINEERING MANAGER,5,ONET-DUP
Nov-21,Computer and information systems managers,11-3021.00,Computer and Information Systems Managers,IT ACCOUNT MANAGER,4,ONET-DUP
Nov-21,Computer and information systems managers,11-3021.00,Computer and Information Systems Managers,COMPUTER OPERATIONS MANAGER,3,DMTF
Nov-21,Computer and information systems managers,11-3021.00,Computer and Information Systems Managers,DATA OPERATIONS DIRECTOR,1,DMTF
Nov-21,Computer and information systems managers,11-3021.00,Computer and Information Systems Managers,INFORMATION SYSTEMS DIRECTOR,1,DMTF
Nov-21,Computer and information systems managers,11-3021.00,Computer and Information Systems Managers,SYSTEM DEVELOPMENT MANAGER,1,ONET-DUP
Nov-21,Computer and information systems managers,11-3021.00,Computer and Information Systems Managers,MIS SPECIALIST,1,ONET-DUP
Nov-31,Financial managers,11-3031.00,Financial Managers,CREDIT MANAGER,79,DMTF
Nov-31,Financial managers,11-3031.00,Financial Managers,COMPTROLLER,49,DMTF
Nov-31,Financial managers,11-3031.00,Financial Managers,FINANCIAL OFFICER,30,DMTF
Nov-31,Financial managers,11-3031.00,Financial Managers,FISCAL MANAGER,22,DMTF
Nov-31,Financial managers,11-3031.00,Financial Managers,FINANCIAL DIRECTOR,21,DMTF
Nov-31,Financial managers,11-3031.00,Financial Managers,CITY TREASURER,8,DMTF
Nov-31,Financial managers,11-3031.00,Financial Managers,BANKING CENTER MANAGER,3,DMTF
Nov-31,Financial managers,11-3031.00,Financial Managers,BANKING MANAGER,2,DMTF
Nov-31,Financial managers,11-3031.01,Treasurers and Controllers,CONTROLLER,1177,ONET-DUP
Nov-31,Financial managers,11-3031.01,Treasurers and Controllers,TREASURER,168,ONET-DUP
Nov-31,Financial managers,11-3031.01,Treasurers and Controllers,FINANCIAL CONTROLLER,75,ONET-DM
Nov-31,Financial managers,11-3031.01,Treasurers and Controllers,CORPORATE CONTROLLER,17,ONET-DUP
Nov-31,Financial managers,11-3031.01,Treasurers and Controllers,FINANCIER,11,ONET-DM
Nov-31,Financial managers,11-3031.01,Treasurers and Controllers,PLANT CONTROLLER,8,ONET-DUP
Nov-31,Financial managers,11-3031.01,Treasurers and Controllers,COST CONTROLLER,5,ONET-DUP
Nov-31,Financial managers,11-3031.01,Treasurers and Controllers,RESERVE OFFICER,5,ONET-DUP
Nov-31,Financial managers,11-3031.01,Treasurers and Controllers,CITY CONTROLLER,1,ONET-DM
Nov-31,Financial managers,11-3031.02,"Financial Managers, Branch or Department",FINANCE MANAGER,941,ONET-DUP
Nov-31,Financial managers,11-3031.02,"Financial Managers, Branch or Department",FINANCE DIRECTOR,570,ONET-DUP
Nov-31,Financial managers,11-3031.02,"Financial Managers, Branch or Department",ACCOUNTING MANAGER,428,ONET-DUP
Nov-31,Financial managers,11-3031.02,"Financial Managers, Branch or Department",BRANCH MANAGER,310,ONET-DUP
Nov-31,Financial managers,11-3031.02,"Financial Managers, Branch or Department",DIRECTOR OF FINANCE,248,ONET-DUP
Nov-31,Financial managers,11-3031.02,"Financial Managers, Branch or Department",FINANCIAL MANAGER,184,ONET-DM
Nov-31,Financial managers,11-3031.02,"Financial Managers, Branch or Department",INVESTMENT MANAGER,180,ONET-DM
Nov-31,Financial managers,11-3031.02,"Financial Managers, Branch or Department",BANK MANAGER,145,ONET-DM
Nov-31,Financial managers,11-3031.02,"Financial Managers, Branch or Department",AVP,138,ONET-DM
Nov-31,Financial managers,11-3031.02,"Financial Managers, Branch or Department",TAX DIRECTOR,44,ONET-DM
Nov-31,Financial managers,11-3031.02,"Financial Managers, Branch or Department",FINANCE OFFICER,38,ONET-DM
Nov-31,Financial managers,11-3031.02,"Financial Managers, Branch or Department",BUDGET MANAGER,35,ONET-DUP
Nov-31,Financial managers,11-3031.02,"Financial Managers, Branch or Department",BANKING OFFICER,12,ONET-DUP
Nov-31,Financial managers,11-3031.02,"Financial Managers, Branch or Department",LOAN MANAGER,8,ONET-DM
Nov-31,Financial managers,11-3031.02,"Financial Managers, Branch or Department",BANK CONSULTANT,7,ONET-DUP
Nov-31,Financial managers,11-3031.02,"Financial Managers, Branch or Department",CREDIT UNION MANAGER,6,ONET-DUP
Nov-31,Financial managers,11-3031.02,"Financial Managers, Branch or Department",FINANCIAL CENTER MANAGER,6,ONET-DUP
Nov-31,Financial managers,11-3031.02,"Financial Managers, Branch or Department",CASH MANAGER,4,ONET-DUP
Nov-31,Financial managers,11-3031.02,"Financial Managers, Branch or Department",SERVICE CENTER MANAGER,4,ONET-DUP
Nov-31,Financial managers,11-3031.02,"Financial Managers, Branch or Department",BANK OPERATIONS OFFICER,3,ONET-DUP
Nov-31,Financial managers,11-3031.02,"Financial Managers, Branch or Department",CREDIT DEPARTMENT MANAGER,2,ONET-DUP
Nov-31,Financial managers,11-3031.02,"Financial Managers, Branch or Department",AUDITING MANAGER,1,ONET-DUP
Nov-31,Financial managers,11-3031.02,"Financial Managers, Branch or Department",BANK CASHIER,1,ONET-DUP
Nov-31,Financial managers,11-3031.02,"Financial Managers, Branch or Department",FACTOR,1,ONET-DUP
Nov-31,Financial managers,11-3031.02,"Financial Managers, Branch or Department",FINANCIAL SUPERVISOR,1,ONET-DUP
Nov-31,Financial managers,11-3031.02,"Financial Managers, Branch or Department",PAYMASTER,1,ONET-DUP
Nov-31,Financial managers,11-3031.02,"Financial Managers, Branch or Department",BCM,1,ONET-DUP
Nov-51,Industrial production managers,11-3051.00,Industrial Production Managers,PLANT MANAGER,98,DMTF
Nov-51,Industrial production managers,11-3051.00,Industrial Production Managers,MANUFACTURING MANAGER,35,ONET-DUP
Nov-51,Industrial production managers,11-3051.00,Industrial Production Managers,PRODUCT LINE MANAGER,30,ONET-DUP
Nov-51,Industrial production managers,11-3051.00,Industrial Production Managers,WINE MAKER,28,ONET-DM
