YEAR	STATEICP	STATENM	HO	VEP	VEPHO
2016	54	Tennessee	2,508,027	4,909,426	0.510859518
2016	49	Texas	8,969,226	17,448,910	0.514027868
2016	67	Utah	1,131,430	1,991,885	0.56801974
2016	6	Vermont	315,067	494,871	0.636664909
2016	40	Virginia	3,984,631	6,027,152	0.661113408
2016	73	Washington	3,317,019	5,123,020	0.647473365
2016	56	West Virginia	714,423	1,423,031	0.502043174
2016	25	Wisconsin	2,976,150	4,285,071	0.69453925
2016	68	Wyoming	255,849	429,682	0.595438022
2014	0	United States	81,687,059	227,157,964	0.359604645
2014	41	Alabama	1,180,413	3,588,783	0.328917352
2014	81	Alaska	282,382	520,562	0.542456038
2014	61	Arizona	1,506,416	4,510,186	0.334003077
2014	42	Arkansas	848,592	2,117,881	0.400679736
2014	71	California	7,317,581	24,440,416	0.299404928
2014	62	Colorado	2,041,020	3,800,664	0.53701669
2014	1	Connecticut	1,089,880	2,577,311	0.422874849
2014	11	Delaware	234,038	681,526	0.343402893
2014	55	District of Columbia	175,071	495,899	0.353037615
2014	43	Florida	5,951,561	13,914,216	0.4277324
2014	44	Georgia	2,567,761	6,725,041	0.381820869
2014	82	Hawaii	366,125	1,012,123	0.36173963
2014	63	Idaho	439,830	1,119,882	0.392746736
2014	21	Illinois	3,627,690	9,028,752	0.401793072
2014	22	Indiana	1,341,814	4,829,510	0.277836468
2014	31	Iowa	1,129,700	2,269,179	0.497845256
2014	32	Kansas	869,502	2,048,164	0.424527528
2014	51	Kentucky	1,435,868	3,247,300	0.442172882
2014	45	Louisiana	1,472,039	3,349,433	0.439489012
2014	2	Maine	611,255	1,051,557	0.581285655
2014	52	Maryland	1,733,177	4,154,546	0.417176028
2014	3	Massachusetts	2,158,326	4,896,296	0.440807909
2014	23	Michigan	3,156,531	7,383,958	0.427484961
2014	33	Minnesota	1,981,511	3,935,121	0.503545126
2014	46	Mississippi	631,858	2,181,131	0.289692825
2014	34	Missouri	1,426,303	4,493,722	0.317399029
2014	64	Montana	369,826	787,748	0.469472471
2014	35	Nebraska	539,891	1,334,453	0.404578505
2014	65	Nevada	547,349	1,867,644	0.293069236
2014	4	New Hampshire	488,159	1,025,862	0.475852503
2014	12	New Jersey	1,869,535	6,014,127	0.310857253
2014	66	New Mexico	512,805	1,449,503	0.353779882
2014	13	New York	3,819,010	13,553,426	0.281774512
2014	47	North Carolina	2,915,281	7,143,737	0.408089072
2014	36	North Dakota	248,670	567,221	0.438400553
2014	24	Ohio	3,055,913	8,701,243	0.35120419
2014	53	Oklahoma	824,831	2,755,091	0.299384303
2014	72	Oregon	1,469,717	2,887,517	0.508989904
2014	14	Pennsylvania	3,495,866	9,689,491	0.360789437
2014	5	Rhode Island	324,055	776,286	0.417442798
2014	48	South Carolina	1,246,301	3,584,461	0.347695511
2014	37	South Dakota	279,412	630,989	0.44281596
2014	54	Tennessee	1,374,065	4,799,476	0.286294796
2014	49	Texas	4,727,208	16,675,420	0.283483594
2014	67	Utah	565,970	1,905,801	0.296972244
2014	6	Vermont	193,087	495,884	0.389379371
2014	40	Virginia	2,184,473	5,962,456	0.366371341
2014	73	Washington	2,029,189	4,928,407	0.411733244
2014	56	West Virginia	451,498	1,447,652	0.311882966
2014	25	Wisconsin	2,410,314	4,260,427	0.565744701
2014	68	Wyoming	168,390	431,434	0.390303036
2012	0	United States	129,070,906	222,474,111	0.580161464
2012	41	Alabama	2,074,338	3,539,217	0.586100824
2012	81	Alaska	300,495	511,792	0.587142824
2012	61	Arizona	2,306,559	4,387,900	0.525663529
2012	42	Arkansas	1,069,468	2,109,847	0.506893628
2012	71	California	13,038,547	23,681,837	0.550571605
2012	62	Colorado	2,569,522	3,675,871	0.699023986
2012	1	Connecticut	1,558,960	2,543,202	0.612991025
2012	11	Delaware	413,921	663,967	0.623405983
2012	55	District of Columbia	293,764	477,582	0.615106935
2012	43	Florida	8,474,179	13,495,057	0.627946885
2012	44	Georgia	3,900,050	6,606,607	0.590325715
2012	82	Hawaii	434,697	982,902	0.44225874
2012	63	Idaho	652,274	1,091,410	0.597643415
2012	21	Illinois	5,242,014	8,899,143	0.589047058
2012	22	Indiana	2,624,534	4,755,291	0.551918694
2012	31	Iowa	1,582,180	2,251,748	0.702645234
2012	32	Kansas	1,156,254	2,030,686	0.569390836
2012	51	Kentucky	1,797,212	3,229,185	0.556552814
2012	45	Louisiana	1,994,065	3,311,626	0.602140761
2012	2	Maine	713,180	1,046,008	0.681811229
2012	52	Maryland	2,707,327	4,063,582	0.666241508
2012	3	Massachusetts	3,167,767	4,809,675	0.658623919
2012	23	Michigan	4,730,961	7,312,725	0.64694912
2012	33	Minnesota	2,936,561	3,861,598	0.760452279
2012	46	Mississippi	1,285,584	2,166,825	0.593303105
2012	34	Missouri	2,757,323	4,432,957	0.622005357
2012	64	Montana	484,048	774,476	0.625000646
2012	35	Nebraska	794,379	1,316,915	0.603212052
2012	65	Nevada	1,014,918	1,800,969	0.563539961
2012	4	New Hampshire	710,972	1,013,420	0.701557104
2012	12	New Jersey	3,640,292	5,918,182	0.615103084
2012	66	New Mexico	783,757	1,436,363	0.545653849
2012	13	New York	7,074,723	13,324,107	0.530971644
2012	47	North Carolina	4,505,372	6,947,954	0.648445859
2012	36	North Dakota	322,627	539,164	0.598383794
2012	24	Ohio	5,580,822	8,649,495	0.645219403
2012	53	Oklahoma	1,334,872	2,713,268	0.491979414
2012	72	Oregon	1,789,270	2,836,101	0.63089079
2012	14	Pennsylvania	5,742,040	9,651,432	0.594941766
2012	5	Rhode Island	446,049	768,918	0.580099568
2012	48	South Carolina	1,964,118	3,486,838	0.563294882
2012	37	South Dakota	363,815	613,190	0.593315286
2012	54	Tennessee	2,458,577	4,736,084	0.519116004
2012	49	Texas	7,993,851	16,119,973	0.495897295
2012	67	Utah	1,017,440	1,833,339	0.554965557
2012	6	Vermont	299,290	493,355	0.606642276
2012	40	Virginia	3,854,489	5,834,676	0.660617488
2012	73	Washington	3,125,516	4,822,060	0.648170284
2012	56	West Virginia	670,438	1,447,066	0.463308515
2012	25	Wisconsin	3,068,434	4,209,370	0.728953264
2012	68	Wyoming	249,061	425,142	0.585830146
2010	0	United States	89,099,476	217,551,109	0.409556524
2010	41	Alabama	1,494,273	3,472,582	0.430306037
2010	81	Alaska	256,192	493,764	0.518855162
2010	61	Arizona	1,727,791	4,209,544	0.41044612
2010	42	Arkansas	781,333	2,081,156	0.375432212
2010	71	California	10,095,485	22,946,053	0.43996608
2010	62	Colorado	1,787,730	3,533,054	0.506001324
2010	1	Connecticut	1,153,115	2,512,981	0.458863398
2010	11	Delaware	307,402	646,969	0.475141776
2010	55	District of Columbia	132,656	458,619	0.28925099
2010	43	Florida	5,411,106	12,961,184	0.41748547
2010	44	Georgia	2,576,161	6,464,845	0.398487667
2010	82	Hawaii	382,563	959,531	0.398697906
2010	63	Idaho	452,535	1,069,446	0.423148995
2010	21	Illinois	3,729,989	8,798,829	0.423918796
2010	22	Indiana	1,744,481	4,697,111	0.371394459
2010	31	Iowa	1,116,063	2,234,516	0.499465209
2010	32	Kansas	838,790	2,011,497	0.416997888
2010	51	Kentucky	1,356,468	3,198,093	0.424149016
2010	45	Louisiana	1,264,994	3,249,524	0.389285938
2010	2	Maine	572,766	1,038,201	0.551690858
2010	52	Maryland	1,857,880	4,001,034	0.464349966
2010	3	Massachusetts	2,297,039	4,693,670	0.489390818
2010	23	Michigan	3,226,088	7,245,281	0.445267478
2010	33	Minnesota	2,107,021	3,802,677	0.554088869
2010	46	Mississippi	788,549	2,129,334	0.37032659
2010	34	Missouri	1,943,899	4,366,435	0.445191329
2010	64	Montana	360,341	758,653	0.474974725
2010	35	Nebraska	487,988	1,301,483	0.374947656
2010	65	Nevada	721,404	1,747,288	0.412870689
2010	4	New Hampshire	456,588	999,918	0.456625443
2010	12	New Jersey	2,121,584	5,834,037	0.363656247
2010	66	New Mexico	602,827	1,408,872	0.427879183
2010	13	New York	4,658,586	13,135,048	0.354668365
2010	47	North Carolina	2,660,079	6,785,463	0.392026159
2010	36	North Dakota	238,812	516,974	0.461941993
2010	24	Ohio	3,852,453	8,571,952	0.449425405
2010	53	Oklahoma	1,034,767	2,666,767	0.388023026
2010	72	Oregon	1,453,548	2,760,607	0.526532027
2010	14	Pennsylvania	3,987,551	9,565,822	0.416853983
2010	5	Rhode Island	342,290	763,534	0.448296998
2010	48	South Carolina	1,344,198	3,388,417	0.39670383
2010	37	South Dakota	317,083	599,507	0.528906251
2010	54	Tennessee	1,601,549	4,622,919	0.346436743
2010	49	Texas	4,979,870	15,514,007	0.320991862
2010	67	Utah	643,307	1,772,934	0.362848814
2010	6	Vermont	241,605	488,942	0.494138364
2010	40	Virginia	2,189,841	5,660,589	0.386857445
2010	73	Washington	2,511,094	4,724,350	0.531521585
2010	56	West Virginia	529,948	1,442,003	0.367508251
2010	25	Wisconsin	2,171,331	4,172,130	0.520437043
2010	68	Wyoming	188,463	414,536	0.454636027
2008	0	United States	131,304,731	213,313,508	0.61554813
2008	41	Alabama	2,099,819	3,454,510	0.607848581
2008	81	Alaska	326,197	479,429	0.68038646
2008	61	Arizona	2,293,475	4,046,075	0.566839468
2008	42	Arkansas	1,086,617	2,071,563	0.524539683
2008	71	California	13,561,900	22,261,504	0.609208614
2008	62	Colorado	2,401,361	3,382,959	0.709840409
2008	1	Connecticut	1,646,792	2,471,082	0.666425477
2008	11	Delaware	412,398	628,200	0.656475645
2008	55	District of Columbia	265,853	432,566	0.614595229
2008	43	Florida	8,390,744	12,687,407	0.661344276
2008	44	Georgia	3,924,440	6,281,872	0.624724604
2008	82	Hawaii	453,568	930,067	0.487672393
2008	63	Idaho	655,032	1,029,416	0.636314182
2008	21	Illinois	5,523,051	8,681,138	0.636212787
2008	22	Indiana	2,751,054	4,653,019	0.591240655
2008	31	Iowa	1,537,123	2,216,094	0.693618141
2008	32	Kansas	1,235,872	1,991,759	0.62049274
2008	51	Kentucky	1,826,508	3,152,629	0.579360274
2008	45	Louisiana	1,960,761	3,205,794	0.611630379
2008	2	Maine	731,163	1,036,242	0.705590972
2008	52	Maryland	2,631,596	3,925,117	0.670450333
2008	3	Massachusetts	3,080,985	4,612,550	0.667956987
2008	23	Michigan	5,001,766	7,229,512	0.69185389
2008	33	Minnesota	2,910,369	3,740,142	0.778143985
2008	46	Mississippi	1,289,856	2,113,347	0.610338009
2008	34	Missouri	2,925,205	4,327,572	0.675946004
2008	64	Montana	491,960	741,853	0.663150247
2008	35	Nebraska	801,281	1,274,719	0.628594224
2008	65	Nevada	967,848	1,696,831	0.570385619
2008	4	New Hampshire	710,970	992,226	0.716540385
2008	12	New Jersey	3,868,237	5,776,527	0.669647524
2008	66	New Mexico	830,158	1,362,629	0.609232594
2008	13	New York	7,640,640	12,948,969	0.590057788
2008	47	North Carolina	4,310,789	6,584,302	0.654707059
2008	36	North Dakota	316,621	504,762	0.627267901
2008	24	Ohio	5,698,260	8,513,079	0.669353591
2008	53	Oklahoma	1,462,661	2,619,121	0.558454917
2008	72	Oregon	1,827,864	2,700,327	0.676904686
2008	14	Pennsylvania	6,012,692	9,457,942	0.635729422
2008	5	Rhode Island	471,766	763,608	0.617811757
2008	48	South Carolina	1,920,969	3,311,044	0.580170182
2008	37	South Dakota	381,975	590,720	0.646626151
2008	54	Tennessee	2,599,749	4,563,192	0.56972159
2008	49	Texas	8,077,795	14,929,810	0.541051427
2008	67	Utah	952,370	1,700,286	0.560123415
2008	6	Vermont	325,046	482,677	0.673423428
2008	40	Virginia	3,723,260	5,555,415	0.670203756
2008	73	Washington	3,036,878	4,561,163	0.665812206
2008	56	West Virginia	713,362	1,430,439	0.498701448
2008	25	Wisconsin	2,983,417	4,120,694	0.724008383
2008	68	Wyoming	254,658	405,732	0.627650765
2006	0	United States	83,815,592	207,643,594	0.403651229
2006	41	Alabama	1,250,401	3,338,467	0.374543466
2006	81	Alaska	237,322	465,169	0.510184471
2006	61	Arizona	1,526,782	3,923,786	0.389109396
2006	42	Arkansas	774,680	2,004,193	0.386529641
2006	71	California	8,679,416	21,582,217	0.402155905
2006	62	Colorado	1,558,405	3,297,308	0.47262949
2006	1	Connecticut	1,134,780	2,437,559	0.465539501
2006	11	Delaware	254,099	601,341	0.422553925
2006	55	District of Columbia	120,620	426,612	0.282739351
2006	43	Florida	4,829,270	12,187,858	0.396236156
2006	44	Georgia	2,122,258	6,115,331	0.347038942
2006	82	Hawaii	344,315	908,925	0.378815634
2006	63	Idaho	450,832	993,010	0.454005498
2006	21	Illinois	3,486,671	8,667,453	0.402271694
2006	22	Indiana	1,666,922	4,559,294	0.365609676
2006	31	Iowa	1,048,033	2,178,322	0.481119412
2006	32	Kansas	849,700	1,948,850	0.436000718
2006	51	Kentucky	1,253,526	3,100,828	0.404255251
2006	45	Louisiana	902,498	3,043,573	0.296525827
2006	2	Maine	550,865	1,016,287	0.542036846
2006	52	Maryland	1,788,316	3,833,349	0.466515311
2006	3	Massachusetts	2,219,779	4,552,794	0.48756412
2006	23	Michigan	3,801,256	7,292,624	0.521246673
2006	33	Minnesota	2,202,987	3,667,707	0.600644217
2006	46	Mississippi	610,921	2,077,420	0.294076788
2006	34	Missouri	2,128,459	4,253,541	0.500396963
2006	64	Montana	406,505	720,447	0.564239979
2006	35	Nebraska	596,087	1,251,027	0.476478126
2006	65	Nevada	582,572	1,579,222	0.368898103
2006	4	New Hampshire	403,531	975,281	0.413758701
2006	12	New Jersey	2,250,070	5,701,033	0.394677596
2006	66	New Mexico	561,084	1,320,285	0.424971881
2006	13	New York	4,490,053	12,878,632	0.348643629
2006	47	North Carolina	1,940,808	6,264,630	0.309804091
2006	36	North Dakota	218,152	486,142	0.448741314
2006	24	Ohio	4,022,754	8,461,211	0.475434781
2006	53	Oklahoma	926,462	2,547,224	0.363714381
2006	72	Oregon	1,379,475	2,628,937	0.524727295
2006	14	Pennsylvania	4,096,077	9,283,762	0.441208747
2006	5	Rhode Island	384,993	754,219	0.510452534
2006	48	South Carolina	1,091,952	3,152,046	0.346426416
2006	37	South Dakota	335,508	580,592	0.577872241
2006	54	Tennessee	1,833,695	4,433,921	0.413560593
2006	49	Texas	4,399,068	14,255,313	0.30859147
2006	67	Utah	571,252	1,664,323	0.343233855
2006	6	Vermont	262,726	478,247	0.549352113
2006	40	Virginia	2,370,445	5,385,522	0.440151391
2006	73	Washington	2,083,734	4,403,981	0.473147818
2006	56	West Virginia	459,884	1,401,490	0.328139337
2006	25	Wisconsin	2,161,700	4,064,432	0.531857834
2006	68	Wyoming	193,892	379,127	0.511417019
2004	0	United States	122,294,978	203,483,455	0.601006986
2004	41	Alabama	1,883,415	3,292,608	0.572013128
2004	81	Alaska	312,598	452,124	0.69139882
2004	61	Arizona	2,012,585	3,717,055	0.541446118
2004	42	Arkansas	1,054,945	1,969,208	0.535720452
2004	71	California	12,421,852	21,132,533	0.587807056
2004	62	Colorado	2,129,630	3,192,647	0.667042113
2004	1	Connecticut	1,578,769	2,429,634	0.649797048
2004	11	Delaware	375,190	584,817	0.641551118
2004	55	District of Columbia	227,586	419,142	0.54298066
2004	43	Florida	7,609,810	11,811,921	0.644248298
2004	44	Georgia	3,301,875	5,878,186	0.561716659
2004	82	Hawaii	429,013	889,540	0.48228635
2004	63	Idaho	598,376	946,160	0.632425805
2004	21	Illinois	5,274,322	8,576,696	0.614959653
2004	22	Indiana	2,468,002	4,504,260	0.547926185
2004	31	Iowa	1,506,908	2,156,389	0.698810836
2004	32	Kansas	1,187,756	1,928,764	0.615811992
2004	51	Kentucky	1,795,860	3,057,741	0.58731593
2004	45	Louisiana	1,943,106	3,182,762	0.610509363
2004	2	Maine	740,752	1,003,792	0.73795368
2004	52	Maryland	2,386,705	3,797,264	0.628532807
2004	3	Massachusetts	2,912,388	4,533,859	0.642364044
2004	23	Michigan	4,839,252	7,263,024	0.666286109
2004	33	Minnesota	2,828,387	3,609,185	0.783663625
2004	46	Mississippi	1,152,365	2,068,766	0.557030133
2004	34	Missouri	2,731,364	4,180,960	0.653286327
2004	64	Montana	450,445	699,114	0.644308367
2004	35	Nebraska	778,186	1,236,522	0.629334537
2004	65	Nevada	829,587	1,501,437	0.552528678
2004	4	New Hampshire	677,738	956,422	0.708618162
2004	12	New Jersey	3,611,691	5,663,201	0.637747274
2004	66	New Mexico	756,304	1,282,767	0.589587977
2004	13	New York	7,391,249	12,738,056	0.580249372
2004	47	North Carolina	3,501,007	6,055,771	0.578127376
2004	36	North Dakota	312,833	482,722	0.648060374
2004	24	Ohio	5,627,908	8,427,696	0.667787258
2004	53	Oklahoma	1,463,758	2,510,823	0.582979366
2004	72	Oregon	1,836,782	2,550,887	0.7200562
2004	14	Pennsylvania	5,769,590	9,221,962	0.625635846
2004	5	Rhode Island	437,134	747,046	0.585150044
2004	48	South Carolina	1,617,730	3,055,098	0.529518202
2004	37	South Dakota	388,215	569,161	0.682082926
2004	54	Tennessee	2,437,319	4,328,446	0.563093313
2004	49	Texas	7,410,765	13,796,256	0.53715769
2004	67	Utah	927,844	1,574,463	0.589308228
2004	6	Vermont	312,309	470,754	0.663422934
2004	40	Virginia	3,198,367	5,277,156	0.606077781
2004	73	Washington	2,859,084	4,272,914	0.669118077
2004	56	West Virginia	755,887	1,396,545	0.541255026
2004	25	Wisconsin	2,997,007	4,006,948	0.747952556
2004	68	Wyoming	243,428	370,785	0.656520625
2002	0	United States	78,381,943	198,381,939	0.395106245
2002	41	Alabama	1,364,602	3,285,643	0.415322663
2002	81	Alaska	231,484	427,337	0.54168958
2002	61	Arizona	1,226,111	3,419,481	0.358566402
2002	42	Arkansas	805,696	1,951,568	0.412845466
2002	71	California	7,476,351	20,733,192	0.360598165
2002	62	Colorado	1,416,093	3,056,465	0.46331072
2002	1	Connecticut	1,022,942	2,418,037	0.423046463
2002	11	Delaware	232,314	564,938	0.411220346
2002	55	District of Columbia	124,228	412,062	0.301478904
2002	43	Florida	5,100,581	11,194,391	0.455637203
2002	44	Georgia	2,031,604	5,731,983	0.354433012
2002	82	Hawaii	382,110	872,992	0.437701606
2002	63	Idaho	411,477	921,256	0.446647837
2002	21	Illinois	3,538,883	8,540,965	0.41434229
2002	22	Indiana	1,521,353	4,494,191	0.33851543
2002	31	Iowa	1,023,075	2,136,683	0.478814593
2002	32	Kansas	835,692	1,897,261	0.440472871
2002	51	Kentucky	1,131,313	3,044,267	0.37162082
2002	45	Louisiana	1,246,333	3,163,663	0.393952516
2002	2	Maine	505,190	995,056	0.507700069
2002	52	Maryland	1,704,560	3,678,346	0.463403932
2002	3	Massachusetts	2,194,189	4,458,820	0.492100825
2002	23	Michigan	3,177,565	7,147,888	0.444545997
2002	33	Minnesota	2,254,639	3,518,184	0.640853065
2002	46	Mississippi	615,609	2,047,426	0.300674603
2002	34	Missouri	1,877,620	4,116,889	0.456077392
2002	64	Montana	331,321	684,572	0.483982693
2002	35	Nebraska	480,991	1,204,512	0.399324374
2002	65	Nevada	504,079	1,391,100	0.362360003
2002	4	New Hampshire	447,135	930,362	0.480603249
2002	12	New Jersey	2,112,604	5,549,726	0.380668163
2002	66	New Mexico	484,229	1,255,086	0.385813402
2002	13	New York	4,579,078	12,679,865	0.36112987
2002	47	North Carolina	2,331,181	5,876,705	0.396681644
2002	36	North Dakota	231,030	476,251	0.485101344
2002	24	Ohio	3,228,992	8,322,521	0.387982439
2002	53	Oklahoma	1,035,620	2,513,143	0.412081605
2002	72	Oregon	1,267,221	2,495,739	0.507753816
2002	14	Pennsylvania	3,545,431	9,143,001	0.387775414
2002	5	Rhode Island	331,834	741,776	0.447350683
2002	48	South Carolina	1,102,010	2,982,810	0.369453636
2002	37	South Dakota	337,497	556,154	0.606840911
2002	54	Tennessee	1,644,741	4,151,834	0.396148064
2002	49	Texas	4,514,012	13,181,016	0.34246313
2002	67	Utah	557,153	1,504,529	0.370317222
2002	6	Vermont	230,161	471,403	0.488246787
2002	40	Virginia	1,489,422	5,138,270	0.28986838
2002	73	Washington	1,739,116	4,162,032	0.417852626
2002	56	West Virginia	436,183	1,398,124	0.311977335
2002	25	Wisconsin	1,775,349	3,908,088	0.454275595
2002	68	Wyoming	185,459	370,488	0.500580316
2000	0	United States	105,375,486	194,331,436	0.542246217
2000	41	Alabama	1,672,551	3,241,682	0.515951595
2000	81	Alaska	285,560	419,111	0.681346946
2000	61	Arizona	1,532,016	3,357,701	0.456269334
2000	42	Arkansas	921,781	1,925,961	0.478608341
2000	71	California	10,965,849	19,685,258	0.557058942
2000	62	Colorado	1,741,368	3,026,316	0.575408516
2000	1	Connecticut	1,459,525	2,357,687	0.619049518
2000	11	Delaware	327,529	554,863	0.590288053
2000	55	District of Columbia	201,355	416,696	0.483217981
2000	43	Florida	5,963,110	10,667,193	0.559013979
2000	44	Georgia	2,583,208	5,639,668	0.458042566
2000	82	Hawaii	367,951	832,642	0.441907807
2000	63	Idaho	501,615	877,406	0.571702268
2000	21	Illinois	4,742,123	8,432,600	0.562355976
2000	22	Indiana	2,182,295	4,424,909	0.493184154
2000	31	Iowa	1,315,563	2,082,950	0.631586452
2000	32	Kansas	1,072,216	1,927,950	0.556143054
2000	51	Kentucky	1,544,107	2,955,628	0.522429413
2000	45	Louisiana	1,765,656	3,130,267	0.564059232
2000	2	Maine	651,817	969,292	0.67246712
2000	52	Maryland	2,025,480	3,649,631	0.554982134
2000	3	Massachusetts	2,704,984	4,517,052	0.598838357
2000	23	Michigan	4,232,501	7,070,702	0.598596999
2000	33	Minnesota	2,438,657	3,506,432	0.695481047
2000	46	Mississippi	994,184	2,024,650	0.491039933
2000	34	Missouri	2,359,892	4,052,255	0.582365128
2000	64	Montana	410,986	667,525	0.615686304
2000	35	Nebraska	696,983	1,224,178	0.569347758
2000	65	Nevada	608,970	1,346,116	0.452390433
2000	4	New Hampshire	569,081	890,622	0.638970293
2000	12	New Jersey	3,187,226	5,601,788	0.568965837
2000	66	New Mexico	598,605	1,234,088	0.485058602
2000	13	New York	6,821,999	12,380,208	0.551040742
2000	47	North Carolina	2,911,262	5,744,241	0.506814042
2000	36	North Dakota	288,256	477,968	0.603086399
2000	24	Ohio	4,705,457	8,295,592	0.567223774
2000	53	Oklahoma	1,234,229	2,475,220	0.498634061
2000	72	Oregon	1,533,968	2,364,402	0.648776308
2000	14	Pennsylvania	4,912,185	9,086,897	0.540578924
2000	5	Rhode Island	408,783	753,877	0.542240976
2000	48	South Carolina	1,382,717	2,944,326	0.469620891
2000	37	South Dakota	316,269	548,498	0.576609213
2000	54	Tennessee	2,076,181	4,162,996	0.498722795
